depth,0,1
0,-1,40
20,-1,60
40,-1,70
60,-1,100
80,-1,130
100,-1,140
120,-1,160
140,-1,180
160,-1,190
180,-1,200
200,-1,210
220,-1,220
240,-1,240
260,-1,260
280,-1,290
300,-1,300
320,0,340
340,50,380
360,170,410
380,190,420
400,200,421
420,210,422
440,211,423
460,212,424
480,-1,425
500,-1,431
520,-1,437
540,-1,438
560,-1,439
580,-1,440
600,-1,441
620,-1,442
640,-1,443
660,-1,444
680,-1,445
700,-1,446
720,-1,537
